#AUTHID,text,cEXT,cNEU,cAGR,cCON,cOPN
1997_504851.txt,"Right now, I just woke up after a nap, which is a little weird, but ever since I moved to Texas, I've been having trouble concentrating on things, and I remember starting tenth grade as soon as the clock hit four and didn't stop until it was done. But when I moved here, the lessons got a little more challenging, and there was a lot more work to be done, so I decided not to spend hours on it and just move on, but the thing was, I was always paying attention in class and just knowing it, and now that I look back, If I had worked hard and stayed on track for the last two years without getting lazy, I would have been a genius, but hey, it's all good. lt's too late to fix the past, but I don't know how to focus on the future. I just know that when people say they live on campus, they can't concentrate, It would be easier for me there, but unfortunately, I live at home under my parents'watchful eye and a little annoying sister who just complains and complains. I have to move, but I don't know how to say it. Don't get me wrong, I know where they come from and why they don't want me to move out, but I have to go away and be alone. The only thing they're asking me to do is to keep my room clean and help with business once in a while, but I can't even do that, but I have to, but I have enough money from the U.S. to live in a college or an apartment next semester, and I think I'll take advantage of it. I went to Sixth Street last night and had a good time. I haven't been there that long. Now I know why I love Austin so much. I'm responsible enough to have fun, but keep my priorities straight. When I live at home, I can't go out without them asking where?With whom?Why?When are you coming back?And all those questions.I wish I could be treated like a responsible person for once, But my sister ruined it for me, and she freaked out when she moved into college and ruined her entire career by partying too much, and that's the ultimate reason why they don't want me to have fun, but I'm not little anymore, and they're gonna let me go exploring the world, but I'm Indian, with Indian culture, I mean, in terms of meeting people or going out with people or partying or just having fun. My school is already difficult, but I think having more freedom will put more pressure on me to do better at school. That's what my parents and ultimately expect of me. It's been fun to write, I don't know if you get anything out of this writing, but it helped me get some of my thoughts right. So I hope you had fun reading it and good luck with TA's.",n,y,y,n,y
1997_605191.txt,"Well, here we go with the stream of awareness essays, and I used to do this kind of thing i n high school, and they were pretty interesting, but I often don't have anything to say, and I usually think of myself as someone who gets right to the point. Maybe I'll fix it later, my friend's playing guitar in my room right now, I'm playing anyway, rather messing with it, he's still learning, there's a drawing next to me, cartoons I think, but I don't know who they are. I've been keeping up with the comic book, and I just heard a sound from ICQ, and it's a chat program on the Internet, and I don't know that much about it, so I can't explain it very well. It'll be nice to talk to her again. She went home this weekend to Labor Day. So did my brother. I didn't go. I don't know why. There's no reason to go. When did I start this? It was a long line. I probably won't change it later. I'm running out of things to talk about. I found, It's something I'm working on. I'm in a class that might help me. The phone just rang. Should I pick up the guy who played guitar, It's for my roommate. My suitor came in and started reading this. I'm not sure. He's in the bathroom now. This is a boring piece of literature. I never realized how boring most everyday thoughts are. But when you keep moving like this, There's no time to stop and think deeply about things. I wonder how long this is going to last. I think it's about ten minutes now. Just my second line. How sad. I don't think how long these lines are. I wonder, I guess there's always homework to do. Then we'll see. This se at is unpleasant. I have a little pain in my back. I think I get gout when I get older. As I get older. I don't know how well I would cope with paralysis of an accident.As long as God and my friends are here, I'm okay. I'm pretty thirsty right now. There's not much to drink in my room. But I hate running. It's too boring for me. It's almost over now. Just a few more minutes. Let's see if I can reach the next line. Short reach the goal! Okay. What else am I supposed to do tonight? I can probably read something. My shirt smells like dinner. It's pretty disgusting. I need to wake up to a 9:30's class tomorrow. I remember when it wasn't even early. I got to the next line. I'm so proud of myself. It's sarcasm by the way. I wonder, It's too late now. It's time to go. Until next time, goodbye and good luck. I don't know.",n,n,y,n,n
1997_687252.txt,,n,y,n,y,y
1997_568848.txt,,y,n,y,y,n
1997_688160.txt,,y,n,y,n,y
1997_722902.txt,,y,n,y,n,y
1997_724708.txt,,n,n,y,n,n
1997_724794.txt,,n,n,n,y,y
1997_628043.txt,,y,y,n,y,y
1997_708036.txt,,y,y,y,y,n
1997_665915.txt,,y,y,y,y,y
1997_820679.txt,,n,n,n,n,n
1997_780901.txt,,n,y,n,n,n
1997_606398.txt,,n,y,y,n,n
1997_606357.txt,,n,n,y,y,n
1997_111389.txt,,y,n,y,n,n
1997_196603.txt,,n,n,n,n,y
1997_636228.txt,,n,n,y,n,y
1997_430457.txt,,n,n,y,y,y
1997_475795.txt,,y,y,y,n,y
1997_356326.txt,,n,n,y,n,n
1997_530565.txt,,n,y,y,n,y
1997_378670.txt,,n,y,y,y,n
1997_814703.txt,,y,n,y,y,n
1997_472441.txt,,y,n,y,y,y
1997_339562.txt,,y,n,y,y,n
1997_760578.txt,,y,n,y,y,n
1997_767473.txt,,y,y,n,n,y
1997_743186.txt,,y,y,n,y,y
1997_747589.txt,,y,y,y,n,y
1997_882637.txt,,n,y,n,n,n
1997_821162.txt,,n,y,n,y,y
1997_748062.txt,,y,y,y,n,y
1997_867722.txt,,n,y,n,n,n
1997_784675.txt,,y,n,y,y,y
1997_665910.txt,,y,n,n,y,y
1997_704970.txt,,n,n,n,n,y
1997_660638.txt,,y,n,y,n,y
1997_881327.txt,,n,y,y,n,n
1997_884710.txt,,y,y,n,y,y
1997_880321.txt,,n,y,n,y,n
1997_336857.txt,,n,y,y,n,y
